5.08,14.97
10.88,13.08
7.38,6.81
9.13,8.38
14.20,13.08
8.20,12.32
7.31,12.80
10.96,8.34
14.60,5.29
10.25,12.35
8.15,7.56
10.76,8.95
5.40,12.70
5.35,13.96
8.40,7.00
6.50,5.09
10.07,6.87
12.98,7.42
12.61,5.56
7.77,5.48
12.49,13.23
8.20,9.21
8.41,13.72
11.05,6.44
13.69,5.63
5.60,11.10
11.97,5.36
5.38,12.13
5.68,5.14
14.97,5.21
10.05,9.38
11.70,6.08
11.60,8.78
13.34,11.51
8.65,12.60
11.94,11.81
13.70,6.31
10.78,6.39
11.33,13.15
6.37,12.26
13.35,5.83
9.50,13.75
12.52,6.50
10.12,10.85
9.56,11.27
8.62,12.24
13.60,8.36
12.30,9.10
5.22,7.45
9.25,5.08
12.16,11.44
13.88,8.27
12.59,10.88
7.19,11.12
7.27,5.51
12.61,5.20
12.23,7.08
12.83,8.56
6.14,12.61
6.05,14.83
11.81,7.28
10.71,14.99
9.96,11.88
6.19,14.39
14.07,10.57
13.18,10.18
9.35,10.86
11.59,6.85
5.48,9.26
5.65,10.21
12.24,12.75
5.60,13.74
9.66,8.49
12.97,14.48
9.43,11.52
11.50,9.66
12.13,12.93
9.28,9.18
5.92,9.20
8.21,13.82
5.67,6.45
6.02,13.60
8.10,12.43
12.39,5.85
7.66,12.80
5.26,8.07
9.83,7.53
5.50,6.16
13.68,8.11
8.22,14.82
12.68,6.04
6.76,13.22
13.88,8.15
11.06,5.50
8.19,5.27
5.51,12.93
11.23,6.22
12.76,11.66
12.55,10.55
8.89,7.48
13.30,-10.23
12.31,-12.87
6.47,-11.20
13.44,-6.12
11.61,-13.67
14.84,-6.69
5.69,-14.76
11.42,-5.39
5.19,-7.92
9.08,-8.64
9.85,-12.40
5.48,-14.54
7.45,-11.48
10.75,-12.36
10.25,-5.12
7.58,-11.94
7.94,-14.40
9.09,-9.14
9.15,-10.00
10.68,-12.78
13.12,-8.15
6.43,-7.32
6.15,-11.81
14.10,-14.45
12.72,-5.29
12.77,-14.85
9.36,-14.33
6.13,-9.61
10.85,-13.27
10.36,-8.46
11.76,-14.55
9.79,-9.31
13.39,-14.19
5.29,-10.80
5.66,-10.38
10.22,-6.28
5.76,-9.89
5.95,-14.17
10.53,-9.79
14.75,-5.70
7.77,-9.14
10.51,-7.10
12.04,-7.19
9.03,-8.50
14.54,-11.41
8.24,-7.47
12.78,-9.91
5.27,-9.59
5.13,-8.79
11.78,-13.40
7.37,-5.59
11.00,-11.11
13.04,-5.73
10.14,-10.61
7.42,-8.34
9.41,-7.92
5.02,-13.17
14.74,-12.44
14.09,-9.43
14.66,-10.61
7.55,-11.49
12.99,-6.27
8.77,-5.52
8.19,-8.15
12.32,-14.17
6.96,-7.56
14.43,-5.06
14.54,-10.44
14.97,-11.40
6.55,-10.18
13.41,-10.83
7.51,-8.02
13.68,-10.57
9.56,-9.29
9.08,-14.38
10.33,-13.99
6.65,-7.84
13.42,-10.40
12.05,-5.34
5.68,-10.59
10.15,-12.83
5.64,-5.94
13.54,-6.18
14.07,-10.41
11.13,-5.51
12.90,-7.97
11.47,-10.57
